municipality,urban,renda_dom_pc,population,agua_canalizada,sem_banheiro,esgoto_rede,esgoto_fossa,lixo_coleta,mort_1to4yrs,mort_less1yr,mort_total
350060,0.6184209129718253,585.6459289825121,1882.99999996,0.5573390426664063,0,0.5613947324354199,0.019732222622317757,0.5573390426664063,0,2,26
350070,1.0344817557599526,332.8800269611604,32484.00000016,1.0241069797227518,0.028750592176036618,0.9682746578080627,0.0662692810054713,0.9567766441923472,1,12,195
350075,0.34429615460175406,137.49393039188956,3650,0.5234322367910589,0.011231255678416197,0.2335447931513337,0.29366017252339466,0.41281674239776295,0,1,18
350080,0.35327956238712016,126.73171225032065,3696.99999985,0.5054489966433127,0.023231433039606737,0.4052837205896617,0.08762647934157144,0.40640302624959984,0,0,22
350090,0.3512440073480592,123.50500891721707,3553.93128061,0.4950130433023887,0.005301280098881654,0.33476747187184247,0.15611546182580385,0.4069088130119105,0,0,17
350100,0.3593503180673875,257.02384940417977,15480.99999971,0.48081470768957035,0.0030067521144753516,0.402271009678105,0.08484647949181157,0.40429556182462273,0,2,106
350110,0.37087163733684825,115.26934801575237,4260.99999989,0.5041712242450745,0.0028909309151256423,0.34002810307934006,0.17117637462188717,0.35519908813993023,0,0,36
350115,0.458140231005295,166.11414875907212,15251.99999964,0.5098105322847342,0.013407681519553459,0.4171052243254036,0.08886015208044341,0.49358012429615117,0,1,82
350120,0.3131849460831215,156.3046803582226,4315.99999991,0.49661771056256293,0.010379247945742076,0.31559747966030305,0.18122089033951697,0.3068479496305716,0,4,39
350130,0.818542120809437,281.3081444928213,22661.00000035,0.9705310933729592,0.037181477278384445,0.5518550093162253,0.4222929080830102,0.850946306855186,0,2,130
350140,0.33340272034706514,90.0878331774916,4109.00000039,0.2762883198175597,0.03811381386436101,0.42460603817690473,0.037005466997120526,0.23345799829774136,0,1,31
350150,0.5136971881496798,132.25602039884683,2837.00000017,0.5712431988562647,0.043279779090052206,0.4555541420885538,0.11322960727998792,0.4814283646548439,0,0,19
350160,1.0783419903394316,571.4127773881953,182592.99999865,1.0573905492112206,0.0072074158936756855,1.0066645515248056,0.0620155547372136,1.0553790170195443,3,22,1117
350170,1.0729363105648262,291.4845905188262,28287.00000072,1.0721880612785528,0.020276481904212353,1.0495214610292702,0.02812630169695642,1.0548220700943476,2,3,141
350180,0.4314266850596403,136.40392330157877,5593.99999994,0.5256185546194575,0.009355850956475906,0.425634404092586,0.10657504233361717,0.4262397341317716,1,1,31
350190,0.7847768665190965,548.4606131194269,60403.9999999,1.0450935753969424,0.019112648368254704,0.8515821093900875,0.17036904464922262,0.9407945849748138,3,7,457
350200,0.34073908509892076,199.90205875903743,3582.00000031,0.4990889117801688,0.0010576370622350328,0.3437585631170624,0.1585442911890643,0.4109917423451427,0,0,22
350210,0.989464455813567,428.07470202014434,55160.99999996,1.0091740734601171,0.027598710390765474,0.8277481403122068,0.22722034862495327,0.9406275123561428,1,8,388
350220,0.6711498631851038,299.9346408245679,19297.00000008,0.9603487710809506,0.026769961723710257,0.6851971528698655,0.2583515954605441,0.7786082597378182,1,5,126
350230,0.3361701568301787,149.61927698338462,4534.99999981,0.4710577002676401,0.0038055971029105607,0.34069496597139254,0.12551266258565855,0.357081702543503,0,1,32
350240,0.4173351505588613,104.13870070266923,3410.99999981,0.5110848010923801,0.033338971288729945,0.39195627011276124,0.09564486774562518,0.3856312658424818,0,0,23
350250,1.082556509246354,407.85922759856544,34903.99999995,1.022979117220488,0.024238367631281385,1.033726124427934,0.013351303319779384,0.9931455084802436,2,7,205
350260,0.3620692294202084,135.23837500305987,4935.00000053,0.5098260861747675,0.022795481064128018,0.3549616865482114,0.15824345015708732,0.39031670179201255,0,0,31
350270,0.6427902876503904,211.60350736516062,27161.99999978,0.9770811420200524,0.20691441492846424,0.520560108443606,0.3347348618755483,0.7431781820214651,1,7,137
350275,0.36992704421362893,179.60123188178827,11154.00000003,0.5340031890094612,0.015807145531553136,0.24517624954132253,0.26144177478588904,0.4682248622644688,0,5,71
350280,1.0438926807474036,588.9666833612569,169253.9999999,1.0597395324975574,0.012753293342008552,1.0253793178521031,0.044841045655357535,1.025747764873445,6,33,1188
350290,0.5139563324457128,323.5583045598249,20111.81708667,0.8500704758061208,0.015552359247136983,0.29697611348607383,0.5670764145453391,0.803667431261249,0,7,168
350300,0.46117992088804843,144.48517030811885,4763.0000002,0.5208471687096257,0.00530405534224625,0.4625131912085153,0.05885283302047491,0.466479357556017,0,2,27
350310,0.3516798974126433,117.97294736189956,6064.99999999,0.5195745730458627,0.007953119325884345,0.34222701556646784,0.16278709698385369,0.4193421811812759,1,3,34
350315,0.34917424493471816,98.80741707364722,2618.0000004,0.5033179020357926,0.01823981898439621,0.2630663943870084,0.08770010160837734,0.37075810881106863,0,0,17
350320,1.014710070410402,539.7280474103037,182471.00000087,1.0317772971503036,0.004747634636778551,1.0223953511067858,0.03516106597432995,1.008128124081752,6,16,1257
350330,1.0277704293413714,464.86277195781173,104196.00000044,1.040667949430176,0.010187970710899268,1.0220898087391925,0.05021203989823825,1.016861886938708,4,17,687
350335,0.2493597210462839,74.82066834302343,2163.00000008,0.50414198914225,0.04489971657372745,0.2485458309923439,0.2618874529682828,0.25916987477333947,0,0,19
350340,0.34723526434534413,150.48631417658123,7243.9999997,0.4816963494228477,0.002422323325248381,0.32563878858060447,0.15210737658909548,0.3604199638090646,0,0,42
350350,0.3819393081614891,133.80586046114252,3599.99999987,0.5027447589904135,0.030886139590200222,0.30254508718800055,0.0813111693358604,0.36758544321963493,1,3,31
350360,0.4427668415177856,117.38484804091364,10296.00000047,0.5223544411970193,0.008707025675765052,0.456817373474807,0.06153134022569578,0.4790811830193168,0,2,63
350370,0.49775020938850795,130.20499062651942,7476.9999999,0.5276588889501197,0.0030794918792072918,0.49532203557509896,0.033226511822578825,0.4909940866820775,1,1,51
