municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
500215,676,454,90,1,1,1,50
500220,899,622,185,1,1,4,86
500230,843,762,48,1,1,2,70
500240,889,598,284,0,0,7,147
500260,666,444,142,0,0,5,87
500270,15337,14383,191,1,0,125,5018
500280,413,265,58,0,0,1,31
500290,825,687,65,1,1,2,153
500295,1335,918,341,1,0,5,82
500310,412,280,98,0,1,0,21
500315,772,498,125,1,1,8,108
500320,3899,2683,944,1,1,40,671
500325,880,409,160,0,0,4,109
500330,1149,730,298,1,0,5,242
500345,499,308,97,1,0,3,72
500348,660,427,136,0,0,1,51
500350,331,252,46,1,0,0,39
500370,6162,2949,1751,0,0,52,1285
500375,376,246,88,1,0,4,72
500380,887,475,370,1,1,4,154
500390,184,153,7,0,0,2,18
500400,380,295,28,1,1,1,63
500410,437,155,235,1,1,1,86
500430,686,484,158,1,0,0,84
500440,540,298,180,1,1,3,40
500450,680,395,77,1,0,4,93
500460,972,628,231,1,0,3,102
500470,1177,989,144,1,0,4,154
500480,578,268,236,0,0,3,46
500490,377,257,64,0,0,0,29
500500,942,564,203,1,1,5,170
500510,369,250,42,0,1,3,18
500515,363,237,95,0,0,2,55
500520,1016,672,216,1,1,7,121
500525,555,260,212,1,0,1,21
500540,1678,1026,528,1,1,7,201
500560,1363,745,469,0,0,10,135
500568,621,321,214,1,1,6,125
500570,2312,1465,583,0,0,6,277
500580,584,436,83,1,1,3,77
500600,1362,803,452,1,0,3,94
500620,1625,1392,94,0,1,3,269
500625,374,182,149,0,0,0,21
500627,309,147,99,0,0,0,11
500630,1510,1317,0,0,1,11,322
500635,771,383,349,1,0,10,74
500640,434,331,83,1,1,2,47
500660,3317,1888,922,1,0,17,545
500690,670,588,4,1,1,3,70
500710,1303,658,471,0,0,8,92
500720,1250,753,438,1,1,7,151
500730,401,255,103,0,0,0,36
500740,879,478,284,0,0,6,144
500750,309,259,18,0,0,0,13
500755,501,385,73,1,0,1,38
500769,936,626,189,1,0,7,102
500770,376,304,39,0,0,2,80
500780,457,198,172,1,1,1,39
500790,2105,1292,685,1,0,10,249
500793,721,414,150,0,0,4,61
500795,571,315,233,0,0,6,64
500797,452,318,83,1,1,0,19
500800,814,506,201,1,0,2,85
500830,4077,2123,703,0,0,24,689
500840,246,92,118,0,0,0,57
510010,157,109,0,0,0,2,32
510020,810,777,0,0,1,10,106
510025,1798,1059,628,1,1,15,318
510030,809,673,43,1,1,4,110
510035,308,263,33,0,0,0,27
510040,474,349,90,1,0,1,51
510050,332,252,30,1,1,0,43
510060,568,373,158,0,1,3,28
510080,344,254,36,1,0,3,36
510100,253,214,10,0,0,1,17
510120,219,173,17,1,1,0,5
510125,457,389,49,1,0,3,90
510130,271,182,60,0,0,4,59
510140,971,589,307,0,0,7,80
510160,300,196,89,1,0,0,28
510170,1021,611,317,1,1,8,182
510180,2172,1643,360,1,1,22,388
510185,296,189,92,0,0,5,42
510190,596,492,39,1,0,3,76
510250,2151,1361,570,1,1,21,609
510260,663,363,0,0,1,13,85
510263,890,664,101,1,1,12,111
510267,1161,622,150,1,1,11,192
510268,502,419,27,1,1,3,21
510269,245,204,0,0,0,0,12
510270,720,473,26,0,0,12,99
510279,426,275,0,1,0,3,54
510285,221,172,30,0,0,0,28
510300,753,429,278,1,1,8,92
510305,408,285,40,1,1,0,40
510310,359,289,35,1,1,0,25
510320,991,622,255,0,0,5,176
510325,1162,455,605,1,0,11,99
510330,793,642,0,0,0,14,117
510335,689,514,0,0,0,4,88
510336,237,188,14,1,0,0,13
510337,486,327,124,1,0,0,44
510340,17873,9082,8051,0,0,146,3433
510343,219,181,0,1,0,0,27
510345,230,186,14,0,0,0,42
510350,896,610,226,1,1,4,112
510360,328,270,30,1,1,0,63
510370,488,394,55,1,0,2,30
510380,192,129,0,0,0,1,21
510385,348,116,0,1,0,4,27
510390,287,134,99,0,0,0,35
510395,161,157,0,0,1,0,24
510410,889,648,164,1,0,6,162
510420,360,251,87,0,0,3,91
510450,182,145,14,0,0,0,15
510452,326,203,35,0,0,1,19
510454,192,167,0,0,0,0,21
510455,244,178,0,1,1,1,26
510460,913,606,242,0,0,2,43
510480,1102,618,380,1,1,7,162
510490,238,163,36,0,0,1,60
510500,388,281,41,0,0,1,55
510510,1060,1033,0,1,0,8,160
510515,1314,1010,166,1,0,10,220
510517,372,254,91,1,1,0,35
510520,398,283,106,1,1,0,71
510523,239,171,33,0,0,2,32
510525,1614,1300,140,1,0,11,173
510530,231,174,25,0,1,0,5
510550,844,775,0,0,0,4,55
510558,509,442,7,1,1,2,39
510560,652,454,154,1,1,4,81
510562,632,481,130,1,1,5,153
510590,520,401,69,0,1,8,100
510600,213,158,41,0,0,1,60
510610,475,345,79,1,1,0,57
510615,504,300,184,1,1,3,58
510617,252,127,22,0,1,4,17
510618,354,307,0,0,0,1,25
510619,199,169,20,1,0,2,23
510620,227,169,0,1,1,0,36
510621,559,443,0,1,0,0,49
510622,1386,1151,152,0,0,8,119
510623,624,479,86,0,0,3,79
510624,687,365,131,1,1,2,37
510625,560,500,35,0,0,1,116
510626,344,200,0,1,0,2,26
510627,209,191,3,1,1,0,15
510628,333,240,34,0,0,1,34
510629,532,364,79,0,0,4,53
510630,760,478,239,1,0,4,110
510631,195,146,25,0,0,2,9
510637,619,361,112,1,1,5,105
510642,1142,762,296,1,0,8,191
510645,223,150,0,0,0,1,16
510650,1053,719,280,0,0,5,213
510665,250,198,2,0,0,1,17
510670,164,55,0,0,0,0,12
510675,996,833,0,0,0,10,183
510677,264,185,0,0,0,0,42
510680,318,239,0,1,1,0,32
510682,463,277,0,1,0,2,65
510685,220,146,7,0,1,1,25
510700,656,365,235,1,1,7,131
510704,2189,1530,496,0,0,15,262
510706,755,398,293,1,0,5,43
510710,444,366,54,1,1,3,115
510715,216,173,17,0,0,0,17
510718,382,145,219,0,0,3,47
510719,206,184,4,0,0,0,11
510720,228,208,0,1,0,0,26
510724,235,179,30,1,0,1,21
510726,128,112,16,0,0,2,22
510729,183,132,36,0,0,0,20
510730,504,456,3,1,0,5,93
510735,304,254,0,0,0,1,21
510740,228,167,39,1,0,2,25
510757,359,236,2,0,0,0,13
510760,5790,1972,2004,1,1,35,1366
510770,547,370,46,0,0,2,120
510774,215,163,0,0,0,0,7
510775,278,244,0,1,0,0,29
510776,267,120,0,1,1,3,12
510777,354,217,0,0,1,1,26
510779,305,187,41,0,0,0,12
510780,695,339,290,0,0,4,121
510785,457,285,123,1,1,2,40
510787,1106,924,95,1,0,5,58
510788,163,155,0,0,0,0,7
510790,3671,2863,209,0,0,22,574
510792,2228,1403,347,1,0,17,321
510794,449,309,56,0,1,3,34
510795,2101,1495,515,1,1,34,478
510800,450,324,65,0,1,3,43
510805,487,401,0,1,0,0,62
510810,174,89,43,0,0,0,17
510820,257,165,1,0,0,0,21
510830,230,173,43,0,0,1,14
510835,215,163,11,0,0,1,12
510840,6699,3737,2625,1,1,78,1579
510850,365,278,0,1,0,2,49
510860,601,431,2,0,0,6,85
510880,216,180,18,0,0,1,27
510885,227,128,68,0,0,1,15
510890,298,254,24,1,1,3,20
510895,348,248,35,1,0,1,29
520005,530,290,130,0,0,1,60
520010,541,407,45,0,0,4,78
520013,800,705,65,1,1,5,144
520015,86,30,16,0,0,0,18
520017,308,183,31,0,0,0,20
520020,278,115,30,0,0,0,9
520025,3892,2345,973,1,0,29,639
520030,885,722,0,0,0,4,187
520050,226,120,68,0,0,0,14
520055,597,207,151,0,0,2,32
520060,423,324,32,0,0,1,28
520080,405,274,96,1,1,1,64
520082,209,163,5,0,0,0,11
520085,231,164,0,0,0,0,37
520090,200,175,10,0,0,2,23
520110,8067,7068,14,1,1,71,2487
520120,214,140,21,0,0,0,7
520130,861,542,70,1,1,2,120
520140,10765,6858,7,1,1,109,2537
520145,238,188,5,0,0,0,8
520150,369,175,120,1,1,0,29
520160,161,125,0,0,0,0,33
520170,761,210,79,0,1,7,136
520180,418,220,38,1,0,0,63
520215,365,131,61,1,1,1,62
520235,252,122,0,0,0,0,19
520250,430,121,31,0,0,0,43
520260,202,147,33,0,0,0,35
520280,210,120,0,1,0,0,23
520310,225,120,53,0,0,1,17
520320,720,570,78,0,0,1,51
520330,1121,736,187,0,0,10,188
520340,338,232,56,0,0,0,69
520350,932,680,87,1,0,5,150
520355,391,246,35,0,0,1,58
520357,250,171,22,0,0,0,11
520360,177,65,26,0,0,2,18
520380,307,148,0,0,0,1,34
520390,483,308,89,0,0,2,76
520393,156,116,0,0,0,0,19
520396,269,202,0,0,0,2,28
520400,347,280,20,0,0,0,33
520410,435,301,24,0,0,2,67
