employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
258,236,22,0,0,0,0
359,236,121,0,0,0,0
513,402,45,0,0,0,1
720,408,92,0,0,0,0
848,425,41,0,1,1,0
259,0,21,0,0,0,0
1240,881,50,0,1,0,0
543,405,138,0,0,0,0
295,185,25,0,0,1,0
716,586,74,0,1,0,0
957,600,113,1,0,1,1
213,101,16,0,0,0,0
1315,879,197,1,0,0,0
818,635,141,0,1,1,1
245,156,31,0,0,0,0
1536,984,202,1,1,1,1
1159,769,86,0,1,0,1
412,257,14,0,0,0,0
300,195,80,0,0,0,0
435,380,29,0,0,0,0
231,166,35,0,1,0,1
735,650,85,1,1,0,0
879,602,126,0,1,1,1
4518,3559,460,0,1,0,0
792,508,40,0,0,0,0
364,206,135,0,0,0,0
864,841,23,0,1,0,0
1220,804,102,0,1,1,1
789,323,49,0,1,0,0
1150,806,97,0,0,1,0
533,387,83,0,1,0,0
283,202,62,0,0,1,1
843,504,65,0,0,1,1
441,0,55,0,1,0,1
2260,0,233,1,1,1,1
539,460,75,1,0,1,1
961,507,57,0,1,1,0
368,295,43,1,0,0,0
303,117,26,1,0,0,0
643,545,27,0,0,1,0
396,265,46,0,0,0,1
1680,1164,284,0,1,1,1
456,401,47,0,0,1,1
436,356,7,0,1,0,1
3952,2694,234,1,1,0,0
564,362,52,1,1,1,0
402,240,80,0,0,0,0
826,482,147,0,0,0,1
794,477,100,0,1,1,1
454,403,20,0,1,1,1
789,592,53,0,1,1,1
22423,8707,1426,1,1,1,1
801,513,172,0,1,0,0
403,219,18,1,0,0,0
3601,47,99,1,1,0,1
202,168,25,0,0,0,0
171,110,27,0,0,0,0
249,165,24,0,0,0,1
2817,2144,265,1,1,0,1
967,648,60,0,0,1,1
378,157,104,0,0,0,0
574,395,16,0,0,0,0
1049,872,42,0,1,0,1
475,338,46,0,0,1,1
391,197,37,1,0,1,1
329,219,9,0,0,1,1
1116,530,223,1,1,1,1
342,190,130,1,1,0,0
2653,1924,118,1,1,0,0
211,155,5,0,0,1,1
126,105,8,0,1,1,1
393,307,29,0,1,0,1
509,239,72,0,0,0,1
453,0,43,0,1,0,0
2040,1245,89,0,1,1,1
231,174,32,0,0,1,0
906,668,90,0,1,0,0
181,166,13,0,0,0,1
1440,33,44,1,1,1,1
352,233,32,0,1,0,0
919,689,113,0,1,0,0
990,682,140,0,1,0,0
217,180,11,0,1,1,1
342,215,93,0,0,0,0
1618,980,120,0,1,0,0
247,160,14,0,0,0,0
1075,953,78,0,1,0,0
306,96,196,1,0,0,0
405,274,35,0,0,1,1
1024,642,92,0,0,0,0
428,273,22,0,1,1,1
337,311,11,0,1,1,1
175,68,34,0,0,0,0
1421,655,123,1,0,0,0
413,359,34,0,0,1,1
742,567,14,0,1,0,1
315,190,19,0,0,0,0
712,0,37,1,0,0,1
234,188,21,0,0,0,0
4040,2887,186,0,1,0,0
797,426,33,0,1,0,0
2908,837,185,0,1,0,0
521,273,228,0,0,0,0
1790,981,116,0,1,0,0
172,79,21,0,1,0,1
416,259,22,0,0,0,0
141,113,16,0,1,0,0
380,264,84,1,0,0,0
460,359,37,0,1,1,1
287,0,22,0,1,1,1
6259,194,544,0,1,0,0
472,320,25,0,1,0,0
948,529,176,0,0,0,0
1008,614,49,0,0,0,0
454,392,16,0,0,0,0
516,0,72,0,0,0,0
2150,872,310,1,1,0,0
986,470,80,1,0,0,0
1073,717,19,0,0,0,1
342,198,37,0,0,0,0
225,120,52,0,1,0,0
565,413,124,0,0,0,0
259,128,28,1,0,0,1
133,89,24,0,0,0,1
2397,1663,92,0,1,0,1
177,146,18,0,1,0,0
442,326,20,0,1,1,1
1908,1027,58,0,1,0,1
684,360,55,0,0,0,0
993,647,175,0,1,0,0
419,247,33,0,1,0,0
685,509,131,0,0,0,0
235,164,22,0,1,0,1
422,323,88,0,0,0,0
656,522,54,0,0,0,0
369,276,42,0,0,0,0
765,599,85,0,0,1,1
349,160,23,0,0,1,1
694,552,104,0,0,0,0
321,262,14,0,0,1,1
432,233,36,0,0,1,1
238,188,45,0,0,0,0
679,356,128,0,0,1,1
1462,771,183,0,1,0,0
